iter	Logloss
0	0.6831268704
1	0.6732457025
2	0.6593677232
3	0.6456986504
4	0.6276736559
5	0.6164141275
6	0.60244298
7	0.5894190035
8	0.5748096381
9	0.5597986705
10	0.5501680047
11	0.5401696188
12	0.5233467669
13	0.516072577
14	0.503206545
15	0.4967113975
16	0.4892453861
17	0.4790267751
18	0.4699060446
19	0.4628866227
20	0.4531130864
21	0.4437779074
22	0.4365525363
23	0.4249025757
24	0.4175469891
25	0.4090570426
26	0.4023539325
27	0.3946926291
28	0.3892145549
29	0.3847959266
30	0.3750722091
31	0.3681320786
32	0.3624081632
33	0.3561732803
34	0.3516555859
35	0.3456917197
36	0.3391681061
37	0.3314259852
38	0.3250343014
39	0.320349115
40	0.315822369
41	0.3096216823
42	0.3036805897
43	0.2995076935
44	0.2926360518
45	0.2855062571
46	0.2817224211
47	0.276905661
48	0.2718382713
49	0.2683281824
50	0.2646403875
51	0.2613859351
52	0.2565396669
53	0.2517115094
54	0.2476543323
55	0.2436945845
56	0.240629755
57	0.2365897717
58	0.2337477236
59	0.228733926
60	0.225622656
61	0.2224436741
62	0.2190977757
63	0.2154962194
64	0.2115219634
65	0.2077615805
66	0.2042497717
67	0.2010987849
68	0.1997695673
69	0.1974055657
70	0.1954593209
71	0.1928897049
72	0.1895047002
73	0.18620209
74	0.1842635539
75	0.1809318513
76	0.1786874721
77	0.1772533465
78	0.1738493099
79	0.1704481007
80	0.1689920961
81	0.1668598368
82	0.1654719867
83	0.1634803122
84	0.1612708915
85	0.1600151605
86	0.1568898447
87	0.1544576035
88	0.1525171099
89	0.1515893521
90	0.1491171394
91	0.1472898586
92	0.1463547191
93	0.1445349626
94	0.1425103014
95	0.1406061354
96	0.139356837
97	0.1378885338
98	0.136123172
99	0.134755387
100	0.133142807
101	0.1317897
102	0.130245275
103	0.129053165
104	0.1278130982
105	0.1266304123
106	0.1254260022
107	0.1239458254
108	0.1224835942
109	0.1210453843
110	0.119742213
111	0.11838536
112	0.1167992133
113	0.1157382618
114	0.1139538879
115	0.1124149098
116	0.1114698536
117	0.1103183533
118	0.109175084
119	0.1077764184
120	0.1065658143
121	0.1058723834
122	0.1046071256
123	0.1036187838
124	0.1029160941
125	0.1024958724
126	0.101447504
127	0.1003759204
128	0.09932643051
129	0.09881251197
130	0.09790378178
131	0.09656232357
132	0.09538587028
133	0.09432835466
134	0.09316655215
135	0.09209752342
136	0.09118639961
137	0.09059332384
138	0.09021144516
139	0.08949895558
140	0.08822108957
141	0.08721390229
142	0.08600327949
143	0.08513083621
144	0.08418535233
145	0.08350308364
146	0.08261669502
147	0.08194240853
148	0.08090393559
149	0.08035465935
150	0.07963430549
151	0.07876004044
152	0.07807017295
153	0.07726739638
154	0.07658953972
155	0.07597478611
156	0.07520259835
157	0.0741942438
158	0.07358046922
159	0.07293653909
160	0.07200561471
161	0.07140620035
162	0.07085088982
163	0.0700891282
164	0.06931934932
165	0.06851513889
166	0.06774549806
167	0.06715140811
168	0.06662626964
169	0.06594354176
170	0.06502376286
171	0.06432147556
172	0.06392041571
173	0.06330173811
174	0.06263611525
175	0.06219220562
176	0.06161838336
177	0.06104456743
178	0.06036270825
179	0.0598097328
180	0.05912973261
181	0.05860036721
182	0.05811014521
183	0.05750397817
184	0.05706941094
185	0.05649716525
186	0.05598505631
187	0.05534488187
188	0.05491263314
189	0.05439396599
190	0.05391591019
191	0.05359102369
192	0.05301759898
193	0.05257081743
194	0.05207260713
195	0.05164424178
196	0.05127834065
197	0.05079380138
198	0.05039993546
199	0.04999789957
200	0.04952890965
201	0.04912648859
202	0.04879062863
203	0.04834958702
204	0.04793574054
205	0.04743461595
206	0.04707416862
207	0.04664271188
208	0.04647425347
209	0.04594102232
210	0.04553691775
211	0.04521396349
212	0.04480917985
213	0.04433232938
214	0.04390316096
215	0.043600158
216	0.04313760047
217	0.04293589129
218	0.04261194174
219	0.04236392864
220	0.04204251402
221	0.0416324803
222	0.04128003928
223	0.0409247251
224	0.04058872707
225	0.04029489791
226	0.03993859268
227	0.03960376359
228	0.03928440936
229	0.03900562379
230	0.03873458621
231	0.03845849761
232	0.03817268158
233	0.03788035286
234	0.03763245839
235	0.03730528176
236	0.03701443609
237	0.03679423796
238	0.0365658788
239	0.03621659687
240	0.03603429802
241	0.03583852511
242	0.03553055013
243	0.03521043064
244	0.034891011
245	0.03467922004
246	0.03438918454
247	0.03408689755
248	0.03378996164
249	0.03357549266
250	0.03336787842
251	0.03311691709
252	0.03291936227
253	0.03273437955
254	0.03250541922
255	0.03231224376
256	0.03211648953
257	0.03191278482
258	0.03174916761
259	0.03156057621
260	0.03135501533
261	0.03114301132
262	0.03087905891
263	0.03068390932
264	0.03048402544
265	0.03026395052
266	0.03003222205
267	0.02984930538
268	0.02964159943
269	0.02946755324
270	0.02923401785
271	0.02903178309
272	0.02888280778
273	0.028722618
274	0.02854870273
275	0.02836197273
276	0.02818999825
277	0.02803901512
278	0.02785355012
279	0.02774533262
280	0.02763048405
281	0.02752895691
282	0.02738194258
283	0.02721156381
284	0.02704214825
285	0.02688710672
286	0.02668532689
287	0.02650466717
288	0.02638155998
289	0.02619556284
290	0.02605091978
291	0.02588829396
292	0.0257235886
293	0.02558985566
294	0.02542054772
295	0.02526667299
296	0.02514401537
297	0.02500563855
298	0.02487081341
299	0.0247497297
